Chromophore,Solvent,Quantum yield
CCN(CC)c1ccc(/C=C/C2=[O+][B-](F)(F)Oc3c2c(=O)oc2cc(N(CC)CC)ccc32)cc1,OCC(O)CO,0.36
COc1ccccc1-c1nc2c3ccccc3c3ccccc3c2o1,Cc1ccccc1,0.53
[O-]c1ccccc1-c1[nH+]c2c3ccccc3c3ccccc3c2o1,Cc1ccccc1,0.111
COc1ccccc1-c1nc2c3ccccc3c3ccccc3c2n1-c1ccc(C)cc1,Cc1ccccc1,0.284
[O-]c1ccccc1-c1[nH+]c2c3ccccc3c3ccccc3c2n1-c1ccccc1,Cc1ccccc1,0.191
COc1ccccc1-c1nc2c3cccnc3c3ncccc3c2n1-c1ccccc1,Cc1ccccc1,0.064
[O-]c1ccccc1-c1[nH+]c2c3cccnc3c3ncccc3c2n1-c1ccccc1,Cc1ccccc1,0.125
COc1ccccc1C1=NC2c3cccc4cccc(c34)C2N1c1ccccc1,Cc1ccccc1,0.01
Cc1ccc(N2C(c3ccccc3N(C)C)=NC(c3ccccc3)C2c2ccccc2)cc1,Cc1ccccc1,0.275
Cc1ccc(N2C(c3ccccc3[N-]S(=O)(=O)c3ccc(C)cc3)=[NH+]C(c3ccccc3)C2c2ccccc2)cc1,Cc1ccccc1,0.396
Cc1ccc(-n2c(-c3ccccc3N)nc3c4ccccc4c4ccccc4c32)cc1,Cc1ccccc1,0.173
Cc1ccc(-n2c(-c3ccccc3[N-]S(=O)(=O)c3ccc(C)cc3)[nH+]c3c4ccccc4c4ccccc4c32)cc1,Cc1ccccc1,0.468
Cc1ccc(-n2c(-c3cccc4cc[nH]c34)nc3c4ccccc4c4ccccc4c32)cc1,Cc1ccccc1,0.17
Cc1ccc(-n2c(-c3cccc4cc[n-]c34)[nH+]c3c4ccccc4c4ccccc4c32)cc1,Cc1ccccc1,0.015
O=C1CCCC2=C1C(c1ccccc1)c1c(c3ccccc3oc1=O)N2,CS(C)=O,0.41
O=C1CCCC2=C1C(c1ccc([N+](=O)[O-])cc1)c1c(c3ccccc3oc1=O)N2,CS(C)=O,0.014
COc1ccc(C2C3=C(CCCC3=O)Nc3c2c(=O)oc2ccccc32)cc1,CS(C)=O,0.26
O=C1CCCC2=C1C(c1cccc(Cl)c1)c1c(c3ccccc3oc1=O)N2,CS(C)=O,0.6
Cc1ccc(C2C3=C(CCCC3=O)Nc3c2c(=O)oc2ccccc32)cc1,CS(C)=O,0.83
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,CCCCCC,0.16
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,CCCCCCC,0.16
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,C1COCCO1,0.16
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,ClC(Cl)Cl,0.18
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,CCOC(C)=O,0.13
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,ClCCl,0.22
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,CCCO,0.13
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,CC#N,0.13
COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,CS(C)=O,0.21
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,CCCCCC,0.15
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,CCCCCCC,0.17
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,C1COCCO1,0.1
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,ClC(Cl)Cl,0.13
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,CCOC(C)=O,0.08
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,ClCCl,0.12
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,CCCO,0.13
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,CC#N,0.09
COc1ccc(C#Cc2ccc(C#N)cc2)cc1,CS(C)=O,0.15
CCCCC(CC)COC(=O)/C=C/c1c(OC)ccc(OC)c1OC,CO,0.08
CCCCC(CC)COC(=O)/C=C/c1c(OC)ccc(OC)c1OC,CCCCCC,0.09
CCCCC(CC)COC(=O)/C=C\c1c(OC)ccc(OC)c1OC,CO,0.07
CCCCC(CC)COC(=O)/C=C\c1c(OC)ccc(OC)c1OC,CCCCCC,0.08
CCCCC(CC)COC(=O)/C=C/c1cccc(OC)c1,CO,0.311
CCCCC(CC)COC(=O)/C=C/c1cccc(OC)c1,CCCCCC,0.127
CCCCC(CC)COC(=O)/C=C\c1cccc(OC)c1,CO,0.23
CCCCC(CC)COC(=O)/C=C\c1cccc(OC)c1,CCCCCC,0.02
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)c(OC)c1OC,CO,0.01
CCCCC(CC)COC(=O)/C=C\c1ccc(OC)c(OC)c1OC,CO,0.01
CCCCC(CC)COC(=O)/C=C/c1cccc(OC)c1,CO,0.34
CCCCC(CC)COC(=O)/C=C/c1cccc(OC)c1,CCCCCC,0.23
CCCCC(CC)COC(=O)/C=C\c1cccc(OC)c1,CO,0.33
CCCCC(CC)COC(=O)/C=C\c1cccc(OC)c1,CCCCCC,0.22
CCCCC(CC)COC(=O)/C=C/c1ccccc1OC,CO,0.01
CCCCC(CC)COC(=O)/C=C\c1ccccc1OC,CO,0.01
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCC,0.55
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,Cc1ccccc1,0.84
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,C1COCCO1,0.86
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCOC(C)=O,0.88
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,ClCCl,0.88
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC(C)=O,0.88
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CS(C)=O,0.8
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC#N,0.85
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCO,0.62
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CO,0.46
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCCCCC,0.94
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,Cc1ccccc1,0.96
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,C1COCCO1,0.96
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCOC(C)=O,0.94
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,ClCCl,0.93
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CC(C)=O,0.95
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CS(C)=O,0.91
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CC#N,0.93
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCO,0.64
O=Cc1cc(N2CCCCC2)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CO,0.5
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCCCCC,0.93
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,Cc1ccccc1,0.94
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,C1COCCO1,0.92
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCOC(C)=O,0.93
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,ClCCl,0.91
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CC(C)=O,0.9
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CS(C)=O,0.75
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CC#N,0.88
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CCO,0.87
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43,CO,0.83
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,CCCCCCC,0.26
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,Cc1ccccc1,0.57
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,C1COCCO1,0.56
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,C1CCOC1,0.57
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,ClCCl,0.64
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,CS(C)=O,0.2
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,CC#N,0.16
CN(C)c1ccc(-c2ccc3c(=O)c(O)coc3c2)cc1,CCCCCCCCO,0.098
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,CCCCCCC,0.022
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,Cc1ccccc1,0.46
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,C1COCCO1,0.58
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,C1CCOC1,0.62
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,ClCCl,0.59
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,CS(C)=O,0.2
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,CC#N,0.16
COc1coc2cc(-c3ccc(N(C)C)cc3)ccc2c1=O,CCCCCCCCO,0.124
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCCCCCC,0.019
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1COCCO1,0.61
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CS(C)=O,0.75
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCCCCCCCO,0.385
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,CCO,0.092
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,CS(C)=O,0.29
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,CO,0.035
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,CN(C)C=O,0.33
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,ClC(Cl)Cl,0.44
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,ClCCl,0.4
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,CC#N,0.3
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,C1COCCO1,0.43
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,C1CCOC1,0.34
CCOC(=O)C1=C(C)NC2=C(C(=O)c3ccccc32)C1c1ccc(N(C)C)cc1,ClC(Cl)(Cl)Cl,0.16
CC1(C)c2cc(C#N)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,C1CCCCC1,0.044
CC1(C)c2cc(C#N)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,Cc1ccccc1,0.089
CC1(C)c2cc(C#N)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,ClC(Cl)Cl,0.11
CC1(C)c2cc(C#N)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21,C1CCOC1,0.08
C(=C/c1ccc(-c2ccncc2)cc1)\c1ccc(-c2ccncc2)cc1,ClCCl,0.97
O=[N+]([O-])c1ccc(/C=C/c2c[nH]c3ccccc23)cc1,CCCCCCC,0.051
O=[N+]([O-])c1ccc(/C=C/c2c[nH]c3ccccc23)cc1,O,0.024
CC(=O)n1cc(/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc21,CC#N,0.045
O=[N+]([O-])c1ccc(/C=C/c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)cc1,CC#N,0.066
NNC(=O)c1ccc(/C=C/c2ccc(C(=O)NN)cc2)cc1,CN(C)C=O,0.2
S=c1[nH]nc(-c2ccc(/C=C/c3ccc(-c4n[nH]c(=S)o4)cc3)cc2)o1,CN(C)C=O,0.33
O=c1[nH]nc(-c2ccc(/C=C/c3ccc(-c4n[nH]c(=O)o4)cc3)cc2)o1,CN(C)C=O,0.5
C(=C/c1ccc(-c2nnc(-c3ccccc3)o2)cc1)\c1ccc(-c2nnc(-c3ccccc3)o2)cc1,CN(C)C=O,0.8
O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,CC#N,0.78
O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,ClCCl,0.99
O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,0.6
O=c1c2cc(F)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,CC#N,0.86
O=c1c2cc(F)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,ClCCl,0.99
O=c1c2cc(F)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,O=c1c2cc(F)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,0.29
O=c1c2cc(Cl)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,CC#N,0.89
O=c1c2cc(Cl)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,ClCCl,0.99
O=c1c2cc(Cl)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,O=c1c2cc(Cl)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,0.28
O=c1c2cc(Br)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,CC#N,0.94
O=c1c2cc(Br)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,ClCCl,0.99
O=c1c2cc(Br)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,O=c1c2cc(Br)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,0.09
O=c1c2cc(I)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,CC#N,0.58
O=c1c2cc(I)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,ClCCl,0.73
O=c1c2cc(I)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,O=c1c2cc(I)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,0.02
F[B-]1(F)n2cccc2C=C2C=CC=[N+]21,CCCCCC,0.92
F[B-]1(F)n2cccc2C=C2C=CC=[N+]21,ClCCl,0.88
F[B-]1(F)n2cccc2C=C2C=CC=[N+]21,CO,0.96
CC1=[N+]2C(=Cc3cccn3[B-]2(F)F)C=C1,CCCCCC,0.96
CC1=[N+]2C(=Cc3cccn3[B-]2(F)F)C=C1,ClCCl,0.92
CC1=[N+]2C(=Cc3cccn3[B-]2(F)F)C=C1,CO,1.0
CC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCCCCC,0.96
CC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,ClCCl,0.88
CC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CO,1.0
CC1=CC(C)=[N+]2C1=Cc1cccn1[B-]2(F)F,CCCCCC,0.93
CC1=CC(C)=[N+]2C1=Cc1cccn1[B-]2(F)F,ClCCl,0.87
CC1=CC(C)=[N+]2C1=Cc1cccn1[B-]2(F)F,CO,0.99
CC1=C2C=CC(C)=[N+]2[B-](F)(F)n2cccc21,CCCCCC,0.96
CC1=C2C=CC(C)=[N+]2[B-](F)(F)n2cccc21,ClCCl,0.89
CC1=C2C=CC(C)=[N+]2[B-](F)(F)n2cccc21,CO,1.0
CC1=CC(C)=[N+]2C1=C(C)c1cccn1[B-]2(F)F,CCCCCC,0.98
CC1=CC(C)=[N+]2C1=C(C)c1cccn1[B-]2(F)F,ClCCl,0.95
CC1=CC(C)=[N+]2C1=C(C)c1cccn1[B-]2(F)F,CO,1.0
CC1=CC(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F,CCCCCC,0.96
CC1=CC(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F,ClCCl,0.92
CC1=CC(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F,CO,0.99
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,0.56
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,ClCCl,0.63
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CO,0.58
Nc1cccc2cccc(N)c12,CC#N,0.1
Nc1cccc2cccc(N)c12,CS(C)=O,0.3
Nc1cccc2cccc(N)c12,CO,0.09
Nc1cccc2cccc(N)c12,Cc1ccccc1,0.13
F[B-]1(F)n2cccc2C2=[N+]1c1cccc3cccc(c13)N2,CS(C)=O,0.012
F[B-]1(F)n2cccc2C2=[N+]1c1cccc3cccc(c13)N2,Cc1ccccc1,0.029
Oc1ccc2ccccc2c1C1Nc2cccc3cccc(c23)N1,CC#N,0.03
Oc1ccc2ccccc2c1C1Nc2cccc3cccc(c23)N1,CS(C)=O,0.14
Oc1ccc2ccccc2c1C1Nc2cccc3cccc(c23)N1,CO,0.03
Oc1ccc2ccccc2c1C1Nc2cccc3cccc(c23)N1,Cc1ccccc1,0.33
c1cc2c3c(cccc3c1)NC(c1ccc3ccc4cccc5ccc1c3c45)N2,CC#N,0.24
c1cc2c3c(cccc3c1)NC(c1ccc3ccc4cccc5ccc1c3c45)N2,CS(C)=O,0.08
c1cc2c3c(cccc3c1)NC(c1ccc3ccc4cccc5ccc1c3c45)N2,CO,0.05
c1cc2c3c(cccc3c1)NC(c1ccc3ccc4cccc5ccc1c3c45)N2,Cc1ccccc1,0.51
CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,C1CCCCC1,0.26
CC(C)(C)c1ccc2c(c1)Cc1cc(C(C)(C)C)ccc1-2,C1CCCCC1,0.7
CCCC1(CCC)c2ccccc2-c2ccccc21,C1CCCCC1,0.36
CCn1c2ccccc2c2ccc(C#N)cc21,C1CCCCC1,0.12
CCCC1(CCC)c2cc(C#N)ccc2-c2ccc(C#N)cc21,C1CCCCC1,0.32
CC(C)(C)c1cc(-c2ccc(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3)cc2)cc(C(C)(C)C)c1,C1COCCO1,0.58
CCC(C)(C)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,C1COCCO1,0.65
COc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,C1CCCCC1,0.7
CCCC1(CCC)c2ccccc2-c2ccc(-c3ccc(C(C)(C)C)cc3)cc21,C1CCCCC1,0.65
CCCC1(CCC)c2ccccc2-c2ccc(-c3ccc(OC)cc3)cc21,C1CCCCC1,0.41
CCn1c2ccccc2c2ccc(-c3ccc(OC)cc3)cc21,C1CCCCC1,0.22
COc1ccc(-c2ccc(-c3ccc(OC)cc3)cc2)cc1,C1CCCCC1,0.64
COc1ccc(-c2ccc(-c3ccc(F)cc3)cc2)cc1,C1COCCO1,0.57
COc1ccc(-c2ccc(-c3ccc(C#N)cc3)cc2)cc1,C1CCCCC1,0.48
c1ccc(-c2ccc(-c3ccc4c(c3)CCO4)cc2)cc1,C1CCCCC1,0.66
c1ccc(-c2ccc(-c3ccc4c(c3)CCCO4)cc2)cc1,C1CCCCC1,0.62
c1cc(-c2ccc3c(c2)CCCO3)ccc1-c1ccc2c(c1)CCCO2,C1CCCCC1,0.6
CCC(C)(C)c1ccc(-c2ccc(-c3ccc(C(C)(C)CC)cc3)cc2)cc1,C1COCCO1,0.85
CCC(C)(C)c1ccc(-c2ccc3c(c2)C(CCOC)(CCOC)c2cc(C(C)(C)CC)ccc2-3)cc1,C1CCCCC1,0.71
CCCC1(CCC)c2cc(-c3cccc(C)c3)ccc2-c2ccc(-c3cccc(C)c3)cc21,C1CCCCC1,0.75
CCCC1(CCC)c2cc(-c3ccc(C(C)(C)CC)cc3)ccc2-c2ccc(-c3ccc(C(C)(C)CC)cc3)cc21,C1CCCCC1,0.92
COCCC1(CCOC)c2cc(-c3ccc(OC)cc3)ccc2-c2ccc(-c3ccc(OC)cc3)cc21,C1CCCCC1,0.61
CCC(C)(C)c1ccc2c(c1)C(CC)(CC)c1cc(-c3ccc4c(c3)C(CC)(CC)c3cc(C(C)(C)CC)ccc3-4)ccc1-2,C1CCCCC1,0.85
CCC(C)(C)c1ccc2c(c1)C(CCOC)(CCOC)c1cc(-c3ccc4c(c3)C(CCOC)(CCOC)c3cc(C(C)(C)CC)ccc3-4)ccc1-2,C1CCCCC1,0.61
CCCC1(CCC)c2cc(-c3cccc(Cc4ccc(/C=C/c5ccccc5)cc4)c3)ccc2-c2ccc(-c3cccc(Cc4ccc(/C=C/c5ccccc5)cc4)c3)cc21,C1CCCCC1,0.08
CCC(C)(C)c1ccc2c(c1)C(CC)(CC)c1cc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(C(C)(C)CC)ccc4-5)cc3)ccc1-2,C1CCCCC1,1.0
CCC(C)(C)c1ccc2c(c1)C(CCOC)(CCOC)c1cc(-c3ccc(-c4ccc5c(c4)C(CCOC)(CCOC)c4cc(C(C)(C)CC)ccc4-5)cc3)ccc1-2,C1CCCCC1,0.9
CCC(C)(C)c1ccc(-c2ccc3c(c2)C(CCOC)(CCOC)c2cc4c(cc2-3)C(CCOC)(CCOC)c2cc(-c3ccc(C(C)(C)CC)cc3)ccc2-4)cc1,C1CCCCC1,0.86
CCCC1(CCC)c2cc(-c3ccccc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccccc5)ccc3-4)cc21,C1CCCCC1,1.0
CCCC1(CCC)c2cc(-c3ccc(C(C)(C)C)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc(C(C)(C)C)cc5)ccc3-4)cc21,C1CCCCC1,0.92
CCCC1(CCC)c2cc(-c3ccc(OC)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc(OC)cc5)ccc3-4)cc21,C1CCCCC1,1.0
COCCC1(CCOC)c2cc(-c3ccc(OC)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCOC)(CCOC)c3cc(-c5ccc(OC)cc5)ccc3-4)cc21,CN(C)C=O,0.95
CCCC1(CCC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc6c(c5)C(CCC)(CCC)c5ccccc5-6)ccc3-4)cc21,C1CCCCC1,0.91
CCCC1(CCC)c2cc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(C(C)(C)CC)ccc3-4)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(C(C)(C)CC)ccc3-4)cc21,C1CCCCC1,0.93
CCCC1(CCC)c2cc(-c3ccc(-c4ccccc4)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc(-c6ccccc6)cc5)ccc3-4)cc21,Cc1ccccc1,0.92
CCCC1(CCC)c2cc(-c3ccc(C(C)(C)C)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc6c(c5)C(CCC)(CCC)c5cc(-c7ccc(C(C)(C)C)cc7)ccc5-6)ccc3-4)cc21,C1CCCCC1,0.9
CCCC1(CCC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc6c(c5)C(CCC)(CCC)c5cc(-c7ccc8c(c7)C(CCC)(CCC)c7ccccc7-8)ccc5-6)ccc3-4)cc21,C1CCCCC1,0.89
CCCC1(CCC)c2cc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc6c(c5)C(CCC)(CCC)c5cc(C(C)(C)CC)ccc5-6)ccc3-4)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(C(C)(C)CC)ccc3-4)cc21,C1CCCCC1,0.98
CCCC1(CCC)c2cc(-c3ccc(C(C)(C)C)cc3)ccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc6c(c5)C(CCC)(CCC)c5cc(-c7ccc8c(c7)C(CCC)(CCC)c7cc(-c9ccc(C(C)(C)C)cc9)ccc7-8)ccc5-6)ccc3-4)cc21,C1CCCCC1,1.0
CCCC1(CCC)c2cc(-c3ccco3)ccc2-c2ccc(-c3ccco3)cc21,C1CCCCC1,0.86
CCCC1(CCC)c2cc(-c3ccc(-c4ccc(OC)cc4)o3)ccc2-c2ccc(-c3ccc(-c4ccc(OC)cc4)o3)cc21,C1CCCCC1,0.79
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,CS(C)=O,0.37
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,CN(C)C=O,0.33
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,CCO,0.34
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,CO,0.32
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,ClC(Cl)Cl,0.25
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,ClCCl,0.25
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,CC#N,0.22
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,C1COCCO1,0.19
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,C1CCOC1,0.2
COc1ccc2c(c1)CCc1c-2nc(N)c(C#N)c1-c1ccc(Br)cc1,CCCCCC,0.05
Nc1ccccc1C(=O)O,C1CCCCC1,0.29
Nc1ccccc1C(=O)O,c1ccccc1,0.39
Nc1ccccc1C(=O)O,CC(C)=O,0.31
Nc1ccccc1C(=O)O,CCO,0.59
Nc1ccccc1C(=O)O,OCC(F)(F)F,0.27
Nc1ccccc1C(=O)O,CC#N,0.56
Nc1ccccc1C(=O)O,CS(C)=O,0.64
Nc1ccccc1C(=O)O,O,0.6
Cc1cccc2nc3[nH]c(=O)[nH]c(=O)c3nc12,CC#N,0.017
Cc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1,CC#N,0.025
Cc1ccc2nc3c(=O)[nH]c(=O)[nH]c3nc2c1,CC#N,0.017
Cc1cccc2nc3c(=O)[nH]c(=O)[nH]c3nc12,CC#N,0.018
